,host_id,entire_home_apt_16,private_room_16,shared_room_16,entire_home_apt_17,private_room_17,shared_room_17,entire_home_apt_diff,private_room_diff,shared_room_diff,sum_2016,sum_2017
237,28250,1,0,0,1,0,0,0,0,0,1,0
238,28267,1,0,0,1,0,0,0,0,0,1,1
239,28573,0,0,0,0,1,0,0,1,0,0,1
240,28589,1,0,0,0,0,0,-1,0,0,1,1
241,28702,0,1,0,0,1,0,0,0,0,1,0
242,29096,1,0,0,1,1,0,0,1,0,1,1
243,29213,0,1,0,0,1,0,0,0,0,1,2
244,29475,1,0,0,0,0,0,-1,0,0,1,1
245,29508,0,0,0,0,1,0,0,1,0,0,0
246,29642,1,2,0,1,1,0,0,-1,0,3,1
247,29762,0,7,0,0,7,0,0,0,0,7,2
248,29805,1,0,0,0,0,0,-1,0,0,1,7
249,30193,1,0,0,1,0,0,0,0,0,1,0
250,30529,1,3,0,1,4,0,0,1,0,4,1
251,30811,1,0,0,1,0,0,0,0,0,1,5
252,30828,0,0,0,0,1,0,0,1,0,0,1
253,31255,1,0,0,0,0,0,-1,0,0,1,1
254,31374,0,1,0,0,1,0,0,0,0,1,0
255,31378,1,0,1,1,1,1,0,1,0,2,1
256,32005,1,0,0,1,0,0,0,0,0,1,3
257,32045,0,1,0,0,1,0,0,0,0,1,1
258,32105,1,0,0,0,0,0,-1,0,0,1,1
259,32169,0,3,0,0,3,0,0,0,0,3,0
260,32228,1,0,0,1,0,0,0,0,0,1,3
261,32294,0,2,0,0,2,0,0,0,0,2,1
262,32330,1,0,0,0,0,0,-1,0,0,1,2
263,32613,1,0,0,1,0,0,0,0,0,1,0
264,32704,0,2,0,0,2,0,0,0,0,2,1
265,32774,1,0,0,0,0,0,-1,0,0,1,2
266,32800,1,0,0,1,0,0,0,0,0,1,0
267,32814,1,0,0,0,1,0,-1,1,0,1,1
268,33009,0,0,0,1,0,0,1,0,0,0,1
269,33188,0,1,0,0,1,0,0,0,0,1,1
270,33263,1,0,0,1,0,0,0,0,0,1,1
271,33279,1,1,0,1,1,0,0,0,0,2,1
272,33377,0,0,0,1,0,0,1,0,0,0,2
273,33405,1,0,0,1,0,0,0,0,0,1,1
274,33595,0,0,0,1,0,0,1,0,0,0,1
275,33816,1,0,0,1,0,0,0,0,0,1,1
276,33824,0,1,0,0,1,0,0,0,0,1,1
277,34128,1,0,0,1,0,0,0,0,0,1,1
278,34331,0,0,0,1,0,0,1,0,0,0,1
279,34551,1,0,0,0,0,0,-1,0,0,1,1
280,34866,0,1,0,0,1,0,0,0,0,1,0
281,34915,1,0,0,1,0,0,0,0,0,1,1
282,35017,1,0,0,0,0,0,-1,0,0,1,1
283,35375,1,1,0,1,1,0,0,0,0,2,0
284,35377,0,1,0,0,1,0,0,0,0,1,2
285,35845,0,1,0,0,0,0,0,-1,0,1,1
286,35935,1,3,0,0,2,0,-1,-1,0,4,0
287,36017,1,0,0,1,0,0,0,0,0,1,2
288,36119,0,0,0,1,0,0,1,0,0,0,1
289,36841,1,0,0,1,0,0,0,0,0,1,1
290,36897,1,0,0,1,0,0,0,0,0,1,1
291,37286,1,1,0,0,0,0,-1,-1,0,2,1
292,37310,0,0,0,1,0,0,1,0,0,0,0
293,37413,1,0,0,1,0,0,0,0,0,1,1
294,37809,1,0,0,1,0,0,0,0,0,1,1
295,37811,1,0,0,1,0,0,0,0,0,1,1
296,37879,1,0,0,1,0,0,0,0,0,1,1
297,38497,0,0,0,1,0,0,1,0,0,0,1
298,38513,1,1,0,1,1,0,0,0,0,2,1
299,38648,1,0,0,1,0,0,0,0,0,1,2
300,38649,0,1,0,0,0,0,0,-1,0,1,1
301,38694,1,1,0,1,0,0,0,-1,0,2,0
302,38699,1,0,0,0,0,0,-1,0,0,1,1
303,38736,0,1,0,0,0,0,0,-1,0,1,0
304,38833,1,0,0,0,0,0,-1,0,0,1,0
305,39076,1,0,0,0,0,0,-1,0,0,1,0
306,39260,1,0,0,1,0,0,0,0,0,1,0
307,39304,1,0,0,0,0,0,-1,0,0,1,1
308,39322,1,0,0,1,0,0,0,0,0,1,0
309,39527,1,0,0,1,0,0,0,0,0,1,1
